empid,jpi,aptitude,tol,technical,general
1,45.52,43.83,55.92,51.82,43.58
2,40.1,32.71,32.56,51.49,51.03
3,50.61,56.64,54.84,52.29,52.47
4,38.97,51.53,59.69,47.48,47.69
5,41.87,51.35,51.5,47.59,45.77
6,38.71,39.6,43.63,48.34,42.06
7,31.64,61.08,39.09,41.25,37
8,59.84,53.38,61.13,58.08,52.28
9,53.92,56.75,60.62,53.28,54.01
10,50.01,61.31,44.69,54.18,49.14
11,33.72,44.54,41.48,45.79,45.07
12,65.35,67.24,60.1,56.88,54.98
13,49.75,71.65,61.54,48.26,45.54
14,36.94,42.06,57.04,49.51,39.08
15,56.87,53.56,51.04,54.68,56.24
16,55.73,55.95,64.92,52.21,55.78
17,51.55,53.68,42.13,51.42,51.93
18,66.39,75.03,60.35,53.61,55.97
19,51.15,49.14,64.38,55.56,49.12
20,41.77,60.54,47.64,48.88,45.87
21,33.77,37.87,61.28,46.42,44.23
22,56.82,48.71,58.06,58.86,52.74
23,41.19,52.36,37.98,47.06,40.92
24,58.55,48.02,60.83,58,53.51
25,43.38,45.59,64.9,49.83,42.75
26,49.73,52.23,63.59,57.46,52.08
27,45.21,33.93,34.08,56.93,51.89
28,53.8,59.83,63.29,52.88,58.9
29,43,55.08,68.53,50.32,54.25
30,49.45,54.36,55.77,50.83,47.98
31,45.34,43.92,44.89,51.64,50.53
32,34.88,69.01,47.56,46.46,40.31
33,64.04,55.32,66.64,67.27,53.5
